running CH on OSM 1
Preprocessing complete. 381 shortcuts added.
Upward Edge from 161 to 137 (ID: 335, Cost: 1)
Upward Edge from 162 to 208 (ID: 1195, Cost: 2)
Upward Edge from 162 to 138 (ID: 337, Cost: 1)
Upward Edge from 163 to 184 (ID: 380, Cost: 1)
Upward Edge from 163 to 138 (ID: 339, Cost: 1)
Upward Edge from 164 to 118 (ID: 1168, Cost: 2)
Upward Edge from 164 to 186 (ID: 384, Cost: 1)
Upward Edge from 165 to 187 (ID: 386, Cost: 1)
Upward Edge from 165 to 140 (ID: 343, Cost: 1)
Upward Edge from 166 to 142 (ID: 345, Cost: 1)
Upward Edge from 167 to 188 (ID: 388, Cost: 1)
Upward Edge from 167 to 143 (ID: 347, Cost: 1)
Upward Edge from 168 to 212 (ID: 1502, Cost: 3)
Upward Edge from 168 to 122 (ID: 1472, Cost: 2)
Upward Edge from 168 to 215 (ID: 1199, Cost: 2)
Upward Edge from 169 to 145 (ID: 351, Cost: 1)
Upward Edge from 170 to 197 (ID: 1708, Cost: 5)
Upward Edge from 170 to 251 (ID: 1504, Cost: 3)
Upward Edge from 170 to 147 (ID: 353, Cost: 1)
Upward Edge from 171 to 193 (ID: 398, Cost: 1)
Upward Edge from 171 to 147 (ID: 355, Cost: 1)
Upward Edge from 172 to 360 (ID: 1712, Cost: 11)
Upward Edge from 172 to 179 (ID: 1629, Cost: 2)
Upward Edge from 172 to 128 (ID: 1170, Cost: 2)
Upward Edge from 173 to 128 (ID: 1172, Cost: 2)
Upward Edge from 173 to 197 (ID: 406, Cost: 1)
Upward Edge from 174 to 201 (ID: 1207, Cost: 2)
Upward Edge from 174 to 128 (ID: 1174, Cost: 2)
Upward Edge from 175 to 225 (ID: 1209, Cost: 2)
Upward Edge from 175 to 129 (ID: 1176, Cost: 2)
Upward Edge from 176 to 226 (ID: 1211, Cost: 2)
Upward Edge from 176 to 132 (ID: 1178, Cost: 2)
Upward Edge from 177 to 132 (ID: 1180, Cost: 2)
Upward Edge from 177 to 201 (ID: 414, Cost: 1)
Upward Edge from 178 to 113 (ID: 1464, Cost: 3)
Upward Edge from 178 to 202 (ID: 416, Cost: 1)
Upward Edge from 179 to 128 (ID: 1740, Cost: 4)
Upward Edge from 179 to 34 (ID: 1703, Cost: 9)
Upward Edge from 179 to 205 (ID: 424, Cost: 1)
Upward Edge from 180 to 136 (ID: 1184, Cost: 2)
Upward Edge from 180 to 206 (ID: 426, Cost: 1)
Upward Edge from 181 to 237 (ID: 1215, Cost: 2)
Upward Edge from 181 to 137 (ID: 1186, Cost: 2)
Upward Edge from 182 to 162 (ID: 377, Cost: 1)
Upward Edge from 183 to 208 (ID: 430, Cost: 1)
Upward Edge from 183 to 162 (ID: 379, Cost: 1)
Upward Edge from 184 to 241 (ID: 1501, Cost: 2)
Upward Edge from 184 to 138 (ID: 1478, Cost: 2)
Upward Edge from 185 to 163 (ID: 383, Cost: 1)
Upward Edge from 186 to 118 (ID: 1481, Cost: 3)
Upward Edge from 186 to 188 (ID: 438, Cost: 1)
Upward Edge from 187 to 140 (ID: 1188, Cost: 2)
Upward Edge from 187 to 212 (ID: 440, Cost: 1)
Upward Edge from 188 to 118 (ID: 1625, Cost: 4)
Upward Edge from 188 to 100 (ID: 1468, Cost: 4)
Upward Edge from 189 to 214 (ID: 444, Cost: 1)
Upward Edge from 189 to 168 (ID: 391, Cost: 1)
Upward Edge from 190 to 215 (ID: 446, Cost: 1)
Upward Edge from 190 to 168 (ID: 393, Cost: 1)
Upward Edge from 191 to 216 (ID: 448, Cost: 1)
Upward Edge from 191 to 170 (ID: 395, Cost: 1)
Upward Edge from 192 to 218 (ID: 452, Cost: 1)
Upward Edge from 192 to 170 (ID: 397, Cost: 1)
Upward Edge from 193 to 147 (ID: 1192, Cost: 2)
Upward Edge from 193 to 219 (ID: 454, Cost: 1)
Upward Edge from 194 to 220 (ID: 456, Cost: 1)
Upward Edge from 194 to 172 (ID: 401, Cost: 1)
Upward Edge from 195 to 221 (ID: 458, Cost: 1)
Upward Edge from 195 to 172 (ID: 403, Cost: 1)
Upward Edge from 196 to 179 (ID: 419, Cost: 1)
Upward Edge from 196 to 172 (ID: 405, Cost: 1)
Upward Edge from 197 to 128 (ID: 1483, Cost: 3)
Upward Edge from 197 to 147 (ID: 1758, Cost: 6)
Upward Edge from 197 to 251 (ID: 1225, Cost: 2)
Upward Edge from 198 to 201 (ID: 466, Cost: 1)
Upward Edge from 198 to 174 (ID: 409, Cost: 1)
Upward Edge from 199 to 225 (ID: 468, Cost: 1)
Upward Edge from 199 to 175 (ID: 411, Cost: 1)
Upward Edge from 200 to 226 (ID: 470, Cost: 1)
Upward Edge from 200 to 176 (ID: 413, Cost: 1)
Upward Edge from 201 to 132 (ID: 1491, Cost: 3)
Upward Edge from 201 to 128 (ID: 1484, Cost: 4)
Upward Edge from 202 to 34 (ID: 1700, Cost: 10)
Upward Edge from 202 to 64 (ID: 1682, Cost: 10)
Upward Edge from 202 to 179 (ID: 1647, Cost: 5)
Upward Edge from 203 to 229 (ID: 476, Cost: 1)
Upward Edge from 203 to 179 (ID: 421, Cost: 1)
Upward Edge from 204 to 234 (ID: 1231, Cost: 2)
Upward Edge from 204 to 179 (ID: 423, Cost: 1)
Upward Edge from 205 to 128 (ID: 1831, Cost: 5)
Upward Edge from 206 to 34 (ID: 1698, Cost: 10)
Upward Edge from 206 to 179 (ID: 1641, Cost: 4)
Upward Edge from 206 to 260 (ID: 1233, Cost: 2)
Upward Edge from 207 to 237 (ID: 492, Cost: 1)
Upward Edge from 207 to 181 (ID: 429, Cost: 1)
Upward Edge from 208 to 138 (ID: 1476, Cost: 3)
Upward Edge from 208 to 238 (ID: 494, Cost: 1)
Upward Edge from 209 to 184 (ID: 433, Cost: 1)
Upward Edge from 210 to 241 (ID: 500, Cost: 1)
Upward Edge from 210 to 184 (ID: 435, Cost: 1)
Upward Edge from 211 to 186 (ID: 437, Cost: 1)
Upward Edge from 212 to 252 (ID: 1764, Cost: 8)
Upward Edge from 212 to 140 (ID: 1763, Cost: 3)
